P_left,P_right,P_med,L_med,n,base_bin_count,bin_width,min_bin_samples,line,line_name,scheme,power_col_for_prediction,power_threshold_axis,power_switch_threshold,fan_threshold_b
130.0,140.0,134.82502899999997,2.8507479999999816,3979,1,10.0,20,DING,丁（DING）,B,FAN_eff,FAN_eff,10.0,10.0
140.0,150.0,145.376986,2.8327250000000106,3803,1,10.0,20,DING,丁（DING）,B,FAN_eff,FAN_eff,10.0,10.0
150.0,160.0,154.168618,2.751066000000037,3841,1,10.0,20,DING,丁（DING）,B,FAN_eff,FAN_eff,10.0,10.0
160.0,170.0,164.88829100000004,3.284464999999969,3066,1,10.0,20,DING,丁（DING）,B,FAN_eff,FAN_eff,10.0,10.0
170.0,180.0,174.93429899999998,3.5648309999999697,2833,1,10.0,20,DING,丁（DING）,B,FAN_eff,FAN_eff,10.0,10.0
180.0,190.0,185.117772,3.659082000000012,2857,1,10.0,20,DING,丁（DING）,B,FAN_eff,FAN_eff,10.0,10.0
190.0,200.0,194.86974650000002,3.799322499999988,2550,1,10.0,20,DING,丁（DING）,B,FAN_eff,FAN_eff,10.0,10.0
200.0,210.0,205.13893,3.967925000000065,2767,1,10.0,20,DING,丁（DING）,B,FAN_eff,FAN_eff,10.0,10.0
210.0,220.0,214.987733,4.147041999999956,2832,1,10.0,20,DING,丁（DING）,B,FAN_eff,FAN_eff,10.0,10.0
220.0,230.0,224.847698,4.597104000000002,2642,1,10.0,20,DING,丁（DING）,B,FAN_eff,FAN_eff,10.0,10.0
230.0,240.0,235.573912,4.470069499999994,2426,1,10.0,20,DING,丁（DING）,B,FAN_eff,FAN_eff,10.0,10.0
240.0,250.0,244.48854699999998,5.168603500000003,2760,1,10.0,20,DING,丁（DING）,B,FAN_eff,FAN_eff,10.0,10.0
250.0,260.0,256.346889,5.835700999999943,3590,1,10.0,20,DING,丁（DING）,B,FAN_eff,FAN_eff,10.0,10.0
260.0,270.0,264.41183700000005,6.112468999999976,3035,1,10.0,20,DING,丁（DING）,B,FAN_eff,FAN_eff,10.0,10.0
270.0,280.0,275.808653,5.725952999999947,1839,1,10.0,20,DING,丁（DING）,B,FAN_eff,FAN_eff,10.0,10.0
280.0,300.0,285.50317600000005,5.563598499999955,1622,2,10.0,20,DING,丁（DING）,B,FAN_eff,FAN_eff,10.0,10.0
0.0,10.0,4.7448683,3.3621856999999995,7703,1,10.0,20,WU,戊（WU）,A,CT_eff,CT_eff,,10.0
10.0,20.0,14.739452,3.526631,6199,1,10.0,20,WU,戊（WU）,A,CT_eff,CT_eff,,10.0
20.0,30.0,25.23616,3.655464000000002,5155,1,10.0,20,WU,戊（WU）,A,CT_eff,CT_eff,,10.0
30.0,40.0,34.865855999999994,3.909040000000001,6046,1,10.0,20,WU,戊（WU）,A,CT_eff,CT_eff,,10.0
40.0,50.0,44.7189255,4.178595000000005,5244,1,10.0,20,WU,戊（WU）,A,CT_eff,CT_eff,,10.0
50.0,60.0,55.05515,4.56568,4497,1,10.0,20,WU,戊（WU）,A,CT_eff,CT_eff,,10.0
60.0,70.0,64.77565,4.779150000000001,4285,1,10.0,20,WU,戊（WU）,A,CT_eff,CT_eff,,10.0
70.0,80.0,74.95067,5.099060000000009,3939,1,10.0,20,WU,戊（WU）,A,CT_eff,CT_eff,,10.0
