风机编号,厂商,集电线路,开始时间,结束时间,持续长度(min),状态码,冻结有功kW,冻结风速ms,同时冻结风机数,异常类型
139,东气,DING,2024-08-09 11:02:00,2024-08-09 11:06:00,5,106.0,727.88,4.842,135,多机-大范围-短时
140,东气,DING,2024-08-09 11:02:00,2024-08-09 11:06:00,5,106.0,1562.49,5.958,135,多机-大范围-短时
141,东气,DING,2024-08-09 11:02:00,2024-08-09 11:06:00,5,106.0,347.37,4.149,135,多机-大范围-短时
142,东气,DING,2024-08-09 11:02:00,2024-08-09 11:06:00,5,106.0,2069.23,6.555,135,多机-大范围-短时
143,东气,DING,2024-08-09 11:02:00,2024-08-09 11:06:00,5,106.0,910.54,5.634,135,多机-大范围-短时
144,东气,DING,2024-08-09 11:02:00,2024-08-09 11:06:00,5,106.0,883.785,5.095,135,多机-大范围-短时
145,东气,DING,2024-08-09 11:02:00,2024-08-09 11:06:00,5,106.0,627.26,4.426,135,多机-大范围-短时
146,东气,DING,2024-08-09 11:02:00,2024-08-09 11:06:00,5,106.0,930.2,5.065,135,多机-大范围-短时
147,东气,DING,2024-08-09 11:02:00,2024-08-09 11:06:00,5,110.0,0.0,4.437,135,多机-大范围-短时
148,东气,DING,2024-08-09 11:02:00,2024-08-09 11:06:00,5,106.0,651.42,4.751,135,多机-大范围-短时
149,东气,DING,2024-08-09 11:02:00,2024-08-09 11:06:00,5,106.0,1395.98,5.744,135,多机-大范围-短时
150,东气,DING,2024-08-09 11:02:00,2024-08-09 11:06:00,5,106.0,1948.84,6.412,135,多机-大范围-短时
151,东气,DING,2024-08-09 11:02:00,2024-08-09 11:06:00,5,101.0,1931.76,6.402,135,多机-大范围-短时
152,东气,DING,2024-08-09 11:02:00,2024-08-09 11:06:00,5,106.0,1401.14,5.762,135,多机-大范围-短时
153,明阳,BING,2024-08-09 11:02:00,2024-08-09 11:06:00,5,1.0,690.0,4.4857,135,多机-大范围-短时
154,明阳,BING,2024-08-09 11:02:00,2024-08-09 11:06:00,5,1.0,598.0,4.6302,135,多机-大范围-短时
155,明阳,BING,2024-08-09 11:02:00,2024-08-09 11:06:00,5,1.0,729.0,5.5067,135,多机-大范围-短时
